Pincode,City,State,COD Delivery,Prepaid Delivery,Pickup
585221,SEDAM,KARNATAKA,N,N,N
735136,Haldibari,WEST BENGAL,Y,Y,Y
515741,Kalyanadurgam,ANDHRA PRADESH,Y,Y,Y
515761,Kalyanadurgam,ANDHRA PRADESH,Y,Y,Y
370415,MUNDRA,GUJARAT,Y,Y,N
362135,Talala,GUJARAT,Y,Y,N
362140,Talala,GUJARAT,Y,Y,N
506134,NARSAMPET,TELANGANA,Y,Y,N
522619,CHILAKALURIPETA,ANDHRA PRADESH,Y,Y,Y
533444,ANNAVARAM,ANDHRA PRADESH,N,N,N
804451,Punpun,BIHAR,N,N,N
803120,Chandi,BIHAR,N,N,N
803108,Chandi,BIHAR,N,N,N
803113,Chandi,BIHAR,N,N,N
413315,Bhose,MAHARASHTRA,Y,Y,N
382315,Dehgam,GUJARAT,Y,Y,N
413302,Bhose,MAHARASHTRA,Y,Y,N
442906,WARORA,MAHARASHTRA,Y,Y,Y
413253,Mohol,MAHARASHTRA,Y,Y,N
761208,BALUGAON,Odisha,Y,Y,N
766020,BISSAMCUTTACK,Odisha,Y,Y,N
761210,BALUGAON,Odisha,Y,Y,N
713131,Burdwan,WEST BENGAL,Y,Y,Y
765021,BISSAMCUTTACK,Odisha,Y,Y,N
721438,EGRA,WEST BENGAL,Y,Y,Y
496440,Raipur,CHHATTISGARH,N,N,N
403003,Panjim,GOA,Y,Y,N
394125,ANKLESHWAR,GUJARAT,N,N,N
370445,Mandvi,GUJARAT,Y,Y,N
370485,Mandvi,GUJARAT,Y,Y,N
680028,KOZHIKODE,KERALA,Y,Y,Y
678722,PALAKKAD,KERALA,Y,Y,Y
229406,Unchahar,UTTAR PRADESH,N,N,N
229408,Unchahar,UTTAR PRADESH,N,N,N
246729,DHAMPUR,UTTAR PRADESH,Y,Y,Y
311402,Bhilwara,RAJASTHAN,N,N,N
229404,Unchahar,UTTAR PRADESH,N,N,N
767045,Dunguripali,Odisha,Y,Y,N
767023,Dunguripali,Odisha,Y,Y,N
767068,Dunguripali,Odisha,Y,Y,N
767061,Dunguripali,Odisha,Y,Y,N
490036,Bhilai Jamul,CHHATTISGARH,Y,Y,Y
486223,Sohagi,MADHYA PRADESH,Y,Y,N
486220,Sohagi,MADHYA PRADESH,Y,Y,N
226201,Itaunja,UTTAR PRADESH,N,N,N
431112,Sillod,MAHARASHTRA,Y,Y,N
444901,Nandgaonpeth,MAHARASHTRA,Y,Y,N
431113,Sillod,MAHARASHTRA,Y,Y,N
757020,Rasgovindpur,Odisha,Y,Y,N
736206,Barobisha,WEST BENGAL,Y,Y,N
757073,Rasgovindpur,Odisha,Y,Y,N
757055,Rasgovindpur,Odisha,Y,Y,N
805112,NAWADA,BIHAR,Y,Y,N
757018,Rasgovindpur,Odisha,Y,Y,N
833106,Manoharpur,JHARKHAND,Y,Y,Y
757016,Rasgovindpur,Odisha,Y,Y,N
805102,NAWADA,BIHAR,Y,Y,N
517123,Piler,ANDHRA PRADESH,Y,Y,Y
507182,Khammam,TELANGANA,N,N,N
517214,Piler,ANDHRA PRADESH,Y,Y,Y
781302,Bhella,ASSAM,Y,Y,Y
744102,Port Blair,ANDAMAN AND NICOBAR,Y,Y,N
744105,Port Blair,ANDAMAN AND NICOBAR,Y,Y,N
744101,Port Blair,ANDAMAN AND NICOBAR,Y,Y,N
744206,Port Blair,ANDAMAN AND NICOBAR,Y,Y,N
744104,Port Blair,ANDAMAN AND NICOBAR,N,N,N
744106,Port Blair,ANDAMAN AND NICOBAR,Y,Y,N
744103,Port Blair,ANDAMAN AND NICOBAR,Y,Y,N
744112,Port Blair,ANDAMAN AND NICOBAR,Y,Y,N
744107,Port Blair,ANDAMAN AND NICOBAR,Y,Y,N
532427,NARASANNAPETA,ANDHRA PRADESH,Y,Y,Y
532430,NARASANNAPETA,ANDHRA PRADESH,Y,Y,Y
535578,BOBBILLI,ANDHRA PRADESH,N,N,N
535568,BOBBILLI,ANDHRA PRADESH,N,N,N
535546,BOBBILLI,ANDHRA PRADESH,N,N,N
532474,NARASANNAPETA,ANDHRA PRADESH,Y,Y,Y
535547,BOBBILLI,ANDHRA PRADESH,N,N,N
524137,BUCHIREDDYPALEM,ANDHRA PRADESH,Y,Y,N
524005,BUCHIREDDYPALEM,ANDHRA PRADESH,Y,Y,Y
522309,CHERUKUPALLI,ANDHRA PRADESH,Y,Y,N
522268,CHERUKUPALLI,ANDHRA PRADESH,Y,Y,Y
522314,CHERUKUPALLI,ANDHRA PRADESH,Y,Y,Y
523346,Semariya,ANDHRA PRADESH,Y,Y,N
522329,CHERUKUPALLI,ANDHRA PRADESH,Y,Y,Y
517247,Madanapalli,ANDHRA PRADESH,Y,Y,Y
532425,Srikakulam,ANDHRA PRADESH,Y,Y,Y
532421,Srikakulam,ANDHRA PRADESH,Y,Y,Y
532432,Srikakulam,ANDHRA PRADESH,Y,Y,Y
532429,Srikakulam,ANDHRA PRADESH,Y,Y,Y
522611,CHILAKALURIPETA,ANDHRA PRADESH,Y,Y,Y
522616,CHILAKALURIPETA,ANDHRA PRADESH,Y,Y,N
522626,CHILAKALURIPETA,ANDHRA PRADESH,Y,Y,Y
534222,Tadepalligudem,ANDHRA PRADESH,Y,Y,N
534216,Tadepalligudem,ANDHRA PRADESH,Y,Y,Y
523253,PODILI,ANDHRA PRADESH,Y,Y,N
534211,Tadepalligudem,ANDHRA PRADESH,Y,Y,Y
524315,ALLURU,ANDHRA PRADESH,N,N,N
534331,Tadepalligudem,ANDHRA PRADESH,Y,Y,N
534227,Tadepalligudem,ANDHRA PRADESH,Y,Y,Y
534329,Tadepalligudem,ANDHRA PRADESH,Y,Y,N
534218,Tadepalligudem,ANDHRA PRADESH,Y,Y,N
534215,Tadepalligudem,ANDHRA PRADESH,Y,Y,Y
523246,PODILI,ANDHRA PRADESH,Y,Y,N
534328,Tadepalligudem,ANDHRA PRADESH,Y,Y,Y
534217,Tadepalligudem,ANDHRA PRADESH,Y,Y,Y
523241,PODILI,ANDHRA PRADESH,N,N,N
533408,ANNAVARAM,ANDHRA PRADESH,N,N,Y
524346,Nellore,ANDHRA PRADESH,N,N,Y
517132,Chittoor,ANDHRA PRADESH,N,N,Y
533406,ANNAVARAM,ANDHRA PRADESH,N,N,Y
532428,KOTTURU,ANDHRA PRADESH,N,N,Y
524239,VINJAMUR,ANDHRA PRADESH,N,N,Y
517007,Chittoor,ANDHRA PRADESH,N,N,Y
522663,Vinukonda,ANDHRA PRADESH,N,N,Y
524344,Nellore,ANDHRA PRADESH,N,N,Y
521136,KUCHIPUDI,ANDHRA PRADESH,N,N,Y
524311,Nellore,ANDHRA PRADESH,N,N,Y
522615,PIDUGURALLA,ANDHRA PRADESH,N,N,Y
524152,NORTH RAJUPALEM,ANDHRA PRADESH,N,N,N
523270,Kandukur,ANDHRA PRADESH,N,N,N
515005,ANANTAPUR,ANDHRA PRADESH,Y,Y,N
534206,Bhimavaram,ANDHRA PRADESH,Y,Y,N
530030,Visakhapatnam,ANDHRA PRADESH,Y,Y,Y
522008,Guntur,ANDHRA PRADESH,Y,Y,Y
531242,GAJAPATHINAGARAM,ANDHRA PRADESH,Y,Y,N
515003,ANANTAPUR,ANDHRA PRADESH,Y,Y,Y
522313,Tenali,ANDHRA PRADESH,Y,Y,N
531019,LANKELAPALEM,ANDHRA PRADESH,Y,Y,N
535213,BOGAPPURAM,ANDHRA PRADESH,Y,Y,N
522273,Repalle,ANDHRA PRADESH,Y,Y,N
521328,AVANIGADDA,ANDHRA PRADESH,N,N,N
515405,PAMIDI,ANDHRA PRADESH,Y,Y,N
517131,KANIPAKAM,ANDHRA PRADESH,Y,Y,Y
